Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-02-28,OK,OKA,Oklahoma,3956971,394484,,
2021-02-28,OR,ORA,Oregon,4217737,355818,,
2021-02-28,PA,PAA,Pennsylvania,12801989,830262,,
2021-02-28,PR,PRA,Puerto Rico,3193694,194732,,
2021-02-28,RI,RIA,Rhode Island,1059361,74687,,
2021-02-28,RP,RPA,Republic of Palau,17907,3099,,
2021-02-28,SC,SCA,South Carolina,5148714,337710,,
2021-02-28,SD,SDA,South Dakota,884659,94266,,
2021-02-28,TN,TNA,Tennessee,6829174,465021,,
2021-02-28,TX,TXA,Texas,28995881,1884890,,
2021-02-28,UT,UTA,Utah,3205958,177561,,
2021-02-28,VA,VAA,Virginia,8535519,717061,,
2021-02-28,VA2,VA2,Veterans Health,0,805178,,
2021-02-28,VI,VIA,Virgin Islands,104680,6434,,
2021-02-28,VT,VTA,Vermont,623989,55224,,
2021-02-28,WA,WAA,Washington,7614893,580143,,
2021-02-28,WI,WIA,Wisconsin,5822434,498381,,
2021-02-28,WV,WVA,West Virginia,1792147,209759,,
2021-02-28,WY,WYA,Wyoming,578759,54962,,
2021-02-28,US,USA,United States,331996199,24779920,,
2021-02-28,LTC,LTC,Long Term Care,,,,
2021-03-01,AK,AKA,Alaska,731545,100024,,
2021-03-01,AL,ALA,Alabama,4903185,308416,,
2021-03-01,AR,ARA,Arkansas,3017804,233135,,
2021-03-01,AS,ASA,American Samoa,55689,8037,,
2021-03-01,AZ,AZA,Arizona,7278717,566500,,
2021-03-01,BP2,BP2,Bureau of Prisons,0,23057,,
2021-03-01,CA,CAA,California,39512223,2744770,,
2021-03-01,CO,COA,Colorado,5758736,479662,,
2021-03-01,CT,CTA,Connecticut,3565287,305226,,
2021-03-01,DC,DCA,District of Columbia,705749,68370,,
2021-03-01,DD2,DD2,Dept of Defense,0,304072,,
2021-03-01,DE,DEA,Delaware,973764,75909,,
2021-03-01,FL,FLA,Florida,21477737,1787511,,
2021-03-01,FM,FMA,Federated States of Micronesia,103643,4403,,
2021-03-01,GA,GAA,Georgia,10617423,747398,,
2021-03-01,GU,GUA,Guam,165768,20267,,
2021-03-01,HI,HIA,Hawaii,1415872,140469,,
2021-03-01,IA,IAA,Iowa,3155070,185255,,
2021-03-01,ID,IDA,Idaho,1787065,131312,,
2021-03-01,IH2,IH2,Indian Health Svc,2082813,174607,,
2021-03-01,IL,ILA,Illinois,12671821,834142,,
2021-03-01,IN,INA,Indiana,6732219,582101,,
2021-03-01,KS,KSA,Kansas,2913314,199266,,
2021-03-01,KY,KYA,Kentucky,4467673,351189,,
2021-03-01,LA,LAA,Louisiana,4648794,385486,,
2021-03-01,MA,MAA,Massachusetts,6892503,527811,,
2021-03-01,MD,MDA,Maryland,6045680,485911,,
2021-03-01,ME,MEA,Maine,1344212,106444,,
2021-03-01,MH,MHA,Marshall Islands,58413,2329,,
2021-03-01,MI,MIA,Michigan,9986857,846505,,
2021-03-01,MN,MNA,Minnesota,5639632,468222,,
2021-03-01,MO,MOA,Missouri,6137428,464382,,
2021-03-01,MP,MPA,Northern Mariana Islands,56882,7642,,
2021-03-01,MS,MSA,Mississippi,2976149,216072,,
2021-03-01,MT,MTA,Montana,1068778,93625,,
2021-03-01,NC,NCA,North Carolina,10488084,886852,,
2021-03-01,ND,NDA,North Dakota,762062,82284,,
2021-03-01,NE,NEA,Nebraska,1934408,161830,,
2021-03-01,NH,NHA,New Hampshire,1359711,96729,,
2021-03-01,NJ,NJA,New Jersey,8882190,696473,,
