Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-04-02,US,USA,United States,331996199,,57878778,17.5
2021-04-02,AK,AKA,Alaska,731545,,165729,22.9
2021-04-02,AL,ALA,Alabama,4903185,,690784,14.1
2021-04-02,AR,ARA,Arkansas,3017804,,449162,14.9
2021-04-02,AS,ASA,American Samoa,55689,,13347,24.7
2021-04-02,AZ,AZA,Arizona,7278717,,1294387,17.8
2021-04-02,BP2,BP2,Bureau of Prisons,0,,46504,0.0
2021-04-02,CA,CAA,California,39512223,,6625015,16.8
2021-04-02,CO,COA,Colorado,5758736,,1049567,18.3
2021-04-02,CT,CTA,Connecticut,3565287,,764828,21.5
2021-04-02,DC,DCA,District of Columbia,705749,,103723,14.7
2021-04-02,DD2,DD2,Dept of Defense,0,,707424,0.0
2021-04-02,DE,DEA,Delaware,973764,,167584,17.2
2021-04-02,FL,FLA,Florida,21477737,,3584959,16.7
2021-04-02,FM,FMA,Federated States of Micronesia,103643,,9670,9.3
2021-04-02,GA,GAA,Georgia,10617423,,1358823,12.8
2021-04-02,GU,GUA,Guam,165768,,32452,19.6
2021-04-02,HI,HIA,Hawaii,1415872,,284294,20.1
2021-04-02,IA,IAA,Iowa,3155070,,635804,20.2
2021-04-02,ID,IDA,Idaho,1787065,,307531,17.2
2021-04-02,IH2,IH2,Indian Health Svc,2082813,,375687,18.3
2021-04-02,IL,ILA,Illinois,12671821,,2180274,17.2
2021-04-02,IN,INA,Indiana,6732219,,1174136,17.4
2021-04-02,KS,KSA,Kansas,2913314,,518475,17.8
2021-04-02,KY,KYA,Kentucky,4467673,,826433,18.5
2021-04-02,LA,LAA,Louisiana,4648794,,804894,17.3
2021-04-02,MA,MAA,Massachusetts,6892503,,1374349,20.0
2021-04-02,MD,MDA,Maryland,6045680,,1113863,18.4
2021-04-02,ME,MEA,Maine,1344212,,283158,21.1
2021-04-02,MH,MHA,Marshall Islands,58413,,8247,14.1
2021-04-02,MI,MIA,Michigan,9986857,,1783947,17.9
2021-04-02,MN,MNA,Minnesota,5639632,,1119200,19.9
2021-04-02,MO,MOA,Missouri,6137428,,996729,16.3
2021-04-02,MP,MPA,Northern Mariana Islands,56882,,12165,21.4
2021-04-02,MS,MSA,Mississippi,2976149,,469561,15.8
2021-04-02,MT,MTA,Montana,1068778,,214873,20.2
2021-04-02,NC,NCA,North Carolina,10488084,,1803056,17.2
2021-04-02,ND,NDA,North Dakota,762062,,164310,21.6
2021-04-02,NE,NEA,Nebraska,1934408,,384029,19.9
2021-04-02,NH,NHA,New Hampshire,1359711,,250298,18.6
2021-04-02,NJ,NJA,New Jersey,8882190,,1791770,20.2
2021-04-02,NM,NMA,New Mexico,2096829,,515116,24.8
2021-04-02,NV,NVA,Nevada,3080156,,514267,16.7
2021-04-02,NY,NYA,New York State,19453561,,3708174,19.1
2021-04-02,OH,OHA,Ohio,11689100,,2064328,17.7
2021-04-02,OK,OKA,Oklahoma,3956971,,751607,19.0
2021-04-02,OR,ORA,Oregon,4217737,,737353,17.5
2021-04-02,PA,PAA,Pennsylvania,12801989,,2251315,17.6
2021-04-02,PR,PRA,Puerto Rico,3193694,,433242,13.6
2021-04-02,RI,RIA,Rhode Island,1059361,,235465,22.2
2021-04-02,RP,RPA,Republic of Palau,17907,,5299,29.6
2021-04-02,SC,SCA,South Carolina,5148714,,814058,15.8
2021-04-02,SD,SDA,South Dakota,884659,,206972,23.4
2021-04-02,TN,TNA,Tennessee,6829174,,998571,14.6
2021-04-02,TX,TXA,Texas,28995881,,4314981,15.0
2021-04-02,UT,UTA,Utah,3205958,,379067,11.9
2021-04-02,VA,VAA,Virginia,8535519,,1530968,18.0
2021-04-02,VA2,VA2,Veterans Health,0,,1724590,0.0
2021-04-02,VI,VIA,Virgin Islands,104680,,15611,15.0
2021-04-02,VT,VTA,Vermont,623989,,124106,19.9
2021-04-02,WA,WAA,Washington,7614893,,1441586,19.0
2021-04-02,WI,WIA,Wisconsin,5822434,,1142927,19.7
2021-04-02,WV,WVA,West Virginia,1792147,,366768,20.5
2021-04-02,WY,WYA,Wyoming,578759,,109061,18.9
2021-04-02,LTC,LTC,Long Term Care,,,,
2021-04-03,US,USA,United States,331996199,,59650494,18.0
2021-04-03,AK,AKA,Alaska,731545,,168841,23.3
2021-04-03,AL,ALA,Alabama,4903185,,704881,14.4
2021-04-03,AR,ARA,Arkansas,3017804,,451244,15.9
2021-04-03,AS,ASA,American Samoa,55689,,13348,24.7
2021-04-03,AZ,AZA,Arizona,7278717,,1327949,18.3
2021-04-03,BP2,BP2,Bureau of Prisons,0,,46850,0.0
2021-04-03,CA,CAA,California,39512223,,6803447,17.3
2021-04-03,CO,COA,Colorado,5758736,,1079970,18.8
2021-04-03,CT,CTA,Connecticut,3565287,,794196,22.3
2021-04-03,DC,DCA,District of Columbia,705749,,106532,15.2
2021-04-03,DD2,DD2,Dept of Defense,0,,719331,0.0
2021-04-03,DE,DEA,Delaware,973764,,171729,17.7
2021-04-03,FL,FLA,Florida,21477737,,3689924,17.2
2021-04-03,FM,FMA,Federated States of Micronesia,103643,,9776,9.4
2021-04-03,GA,GAA,Georgia,10617423,,1391191,13.1
2021-04-03,GU,GUA,Guam,165768,,32673,19.7
2021-04-03,HI,HIA,Hawaii,1415872,,289749,20.5
2021-04-03,IA,IAA,Iowa,3155070,,654123,21.3
2021-04-03,ID,IDA,Idaho,1787065,,314994,17.6
2021-04-03,IH2,IH2,Indian Health Svc,2082813,,383426,18.7
2021-04-03,IL,ILA,Illinois,12671821,,2238526,17.7
2021-04-03,IN,INA,Indiana,6732219,,1207755,17.9
2021-04-03,KS,KSA,Kansas,2913314,,534351,18.4
2021-04-03,KY,KYA,Kentucky,4467673,,860980,19.3
2021-04-03,LA,LAA,Louisiana,4648794,,832921,17.9
2021-04-03,MA,MAA,Massachusetts,6892503,,1413839,20.6
2021-04-03,MD,MDA,Maryland,6045680,,1116496,19.1
2021-04-03,ME,MEA,Maine,1344212,,294497,21.9
2021-04-03,MH,MHA,Marshall Islands,58413,,8373,14.5
2021-04-03,MI,MIA,Michigan,9986857,,1855836,18.6
2021-04-03,MN,MNA,Minnesota,5639632,,1162847,20.6
2021-04-03,MO,MOA,Missouri,6137428,,1026284,16.7
2021-04-03,MP,MPA,Northern Mariana Islands,56882,,12442,21.9
2021-04-03,MS,MSA,Mississippi,2976149,,486015,16.3
2021-04-03,MT,MTA,Montana,1068778,,221569,20.8
2021-04-03,NC,NCA,North Carolina,10488084,,1866723,17.8
2021-04-03,ND,NDA,North Dakota,762062,,171743,22.6
2021-04-03,NE,NEA,Nebraska,1934408,,384661,19.9
2021-04-03,NH,NHA,New Hampshire,1359711,,258563,19.2
2021-04-03,NJ,NJA,New Jersey,8882190,,1844244,20.8
2021-04-03,NM,NMA,New Mexico,2096829,,530070,25.5
2021-04-03,NV,NVA,Nevada,3080156,,530543,17.2
2021-04-03,NY,NYA,New York State,19453561,,3894782,20.1
2021-04-03,OH,OHA,Ohio,11689100,,2133751,18.3
2021-04-03,OK,OKA,Oklahoma,3956971,,778370,19.7
2021-04-03,OR,ORA,Oregon,4217737,,759972,18.1
2021-04-03,PA,PAA,Pennsylvania,12801989,,2323016,18.2
2021-04-03,PR,PRA,Puerto Rico,3193694,,440859,13.8
2021-04-03,RI,RIA,Rhode Island,1059361,,243321,23.0
2021-04-03,RP,RPA,Republic of Palau,17907,,5299,29.6
2021-04-03,SC,SCA,South Carolina,5148714,,816129,15.9
2021-04-03,SD,SDA,South Dakota,884659,,212919,24.1
2021-04-03,TN,TNA,Tennessee,6829174,,1033791,15.1
2021-04-03,TX,TXA,Texas,28995881,,4428202,15.4
2021-04-03,UT,UTA,Utah,3205958,,417154,13.0
2021-04-03,VA,VAA,Virginia,8535519,,1583708,18.6
2021-04-03,VA2,VA2,Veterans Health,0,,1760226,0.0
2021-04-03,VI,VIA,Virgin Islands,104680,,15970,15.3
2021-04-03,VT,VTA,Vermont,623989,,127926,21.3
2021-04-03,WA,WAA,Washington,7614893,,1482198,19.5
2021-04-03,WI,WIA,Wisconsin,5822434,,1189151,20.4
2021-04-03,WV,WVA,West Virginia,1792147,,375768,21.0
2021-04-03,WY,WYA,Wyoming,578759,,109286,18.9
2021-04-03,LTC,LTC,Long Term Care,,,,
2021-04-04,US,USA,United States,331996199,,59814439,18.5
2021-04-04,AK,AKA,Alaska,731545,,168864,24.2
2021-04-04,AL,ALA,Alabama,4903185,,705414,14.5
2021-04-04,AR,ARA,Arkansas,3017804,,451832,16.0
2021-04-04,AS,ASA,American Samoa,55689,,13348,24.7
2021-04-04,AZ,AZA,Arizona,7278717,,1330503,18.8
2021-04-04,BP2,BP2,Bureau of Prisons,0,,46852,0.0
2021-04-04,CA,CAA,California,39512223,,6809791,17.8
2021-04-04,CO,COA,Colorado,5758736,,1080632,19.3
2021-04-04,CT,CTA,Connecticut,3565287,,794360,22.9
2021-04-04,DC,DCA,District of Columbia,705749,,106654,15.6
2021-04-04,DD2,DD2,Dept of Defense,0,,719333,0.0
2021-04-04,DE,DEA,Delaware,973764,,172046,18.1
2021-04-04,FL,FLA,Florida,21477737,,3693147,17.9
2021-04-04,FM,FMA,Federated States of Micronesia,103643,,9776,9.4
2021-04-04,GA,GAA,Georgia,10617423,,1392286,13.1
2021-04-04,GU,GUA,Guam,165768,,32673,19.8
2021-04-04,HI,HIA,Hawaii,1415872,,289955,21.0
2021-04-04,IA,IAA,Iowa,3155070,,654318,21.3
2021-04-04,ID,IDA,Idaho,1787065,,315282,18.0
2021-04-04,IH2,IH2,Indian Health Svc,2082813,,394183,19.2
2021-04-04,IL,ILA,Illinois,12671821,,2239668,18.2
2021-04-04,IN,INA,Indiana,6732219,,1208255,18.3
2021-04-04,KS,KSA,Kansas,2913314,,535151,19.0
2021-04-04,KY,KYA,Kentucky,4467673,,861284,19.9
2021-04-04,LA,LAA,Louisiana,4648794,,833144,18.2
2021-04-04,MA,MAA,Massachusetts,6892503,,1414500,21.2
2021-04-04,MD,MDA,Maryland,6045680,,1116971,19.6
2021-04-04,ME,MEA,Maine,1344212,,294652,22.9
2021-04-04,MH,MHA,Marshall Islands,58413,,8373,15.0
2021-04-04,MI,MIA,Michigan,9986857,,1857001,19.1
2021-04-04,MN,MNA,Minnesota,5639632,,1164132,21.3
2021-04-04,MO,MOA,Missouri,6137428,,1026802,17.2
2021-04-04,MP,MPA,Northern Mariana Islands,56882,,12442,21.9
2021-04-04,MS,MSA,Mississippi,2976149,,486499,16.8
2021-04-04,MT,MTA,Montana,1068778,,222275,21.4
2021-04-04,NC,NCA,North Carolina,10488084,,1868054,18.0
2021-04-04,ND,NDA,North Dakota,762062,,171959,22.9
2021-04-04,NE,NEA,Nebraska,1934408,,384964,20.4
2021-04-04,NH,NHA,New Hampshire,1359711,,264353,19.7
2021-04-04,NJ,NJA,New Jersey,8882190,,1844312,21.3
2021-04-04,NM,NMA,New Mexico,2096829,,532200,26.0
2021-04-04,NV,NVA,Nevada,3080156,,531152,17.8
2021-04-04,NY,NYA,New York State,19453561,,3896882,20.7
2021-04-04,OH,OHA,Ohio,11689100,,2134951,18.8
2021-04-04,OK,OKA,Oklahoma,3956971,,782164,20.3
2021-04-04,OR,ORA,Oregon,4217737,,760387,18.6
2021-04-04,PA,PAA,Pennsylvania,12801989,,2324623,18.6
2021-04-04,PR,PRA,Puerto Rico,3193694,,440991,13.9
2021-04-04,RI,RIA,Rhode Island,1059361,,243582,23.8
2021-04-04,RP,RPA,Republic of Palau,17907,,5299,29.6
2021-04-04,SC,SCA,South Carolina,5148714,,816859,16.5
2021-04-04,SD,SDA,South Dakota,884659,,213650,24.8
2021-04-04,TN,TNA,Tennessee,6829174,,1034852,15.4
2021-04-04,TX,TXA,Texas,28995881,,4535640,15.7
2021-04-04,UT,UTA,Utah,3205958,,417376,13.1
2021-04-04,VA,VAA,Virginia,8535519,,1584686,19.2
2021-04-04,VA2,VA2,Veterans Health,0,,1794711,0.0
2021-04-04,VI,VIA,Virgin Islands,104680,,15970,15.4
2021-04-04,VT,VTA,Vermont,623989,,128592,21.4
2021-04-04,WA,WAA,Washington,7614893,,1483343,20.1
2021-04-04,WI,WIA,Wisconsin,5822434,,1189959,21.0
2021-04-04,WV,WVA,West Virginia,1792147,,377999,21.2
2021-04-04,WY,WYA,Wyoming,578759,,109445,20.5
2021-04-04,LTC,LTC,Long Term Care,,,,
2021-04-05,US,USA,United States,331996199,,59941527,18.8
2021-04-05,AK,AKA,Alaska,731545,,168982,24.5
2021-04-05,AL,ALA,Alabama,4903185,,705548,14.5
2021-04-05,AR,ARA,Arkansas,3017804,,452491,16.1
2021-04-05,AS,ASA,American Samoa,55689,,13348,24.7
2021-04-05,AZ,AZA,Arizona,7278717,,1331217,19.1
2021-04-05,BP2,BP2,Bureau of Prisons,0,,46852,0.0
2021-04-05,CA,CAA,California,39512223,,6811233,18.1
2021-04-05,CO,COA,Colorado,5758736,,1081124,19.4
2021-04-05,CT,CTA,Connecticut,3565287,,794362,23.5
2021-04-05,DC,DCA,District of Columbia,705749,,106655,15.8
2021-04-05,DD2,DD2,Dept of Defense,0,,719330,0.0
2021-04-05,DE,DEA,Delaware,973764,,172046,18.3
2021-04-05,FL,FLA,Florida,21477737,,3694292,17.9
2021-04-05,FM,FMA,Federated States of Micronesia,103643,,9776,9.6
2021-04-05,GA,GAA,Georgia,10617423,,1392617,13.3
2021-04-05,GU,GUA,Guam,165768,,32673,19.8
2021-04-05,HI,HIA,Hawaii,1415872,,290355,21.1
2021-04-05,IA,IAA,Iowa,3155070,,654320,21.7
2021-04-05,ID,IDA,Idaho,1787065,,315295,18.3
2021-04-05,IH2,IH2,Indian Health Svc,2082813,,395354,19.3
2021-04-05,IL,ILA,Illinois,12671821,,2241130,18.5
2021-04-05,IN,INA,Indiana,6732219,,1208268,18.6
2021-04-05,KS,KSA,Kansas,2913314,,535150,19.2
2021-04-05,KY,KYA,Kentucky,4467673,,861370,20.2
2021-04-05,LA,LAA,Louisiana,4648794,,833402,18.4
2021-04-05,MA,MAA,Massachusetts,6892503,,1414888,21.6
2021-04-05,MD,MDA,Maryland,6045680,,1116974,19.8
2021-04-05,ME,MEA,Maine,1344212,,294769,23.7
2021-04-05,MH,MHA,Marshall Islands,58413,,8373,15.0
2021-04-05,MI,MIA,Michigan,9986857,,1857181,19.4
2021-04-05,MN,MNA,Minnesota,5639632,,1165554,21.7
2021-04-05,MO,MOA,Missouri,6137428,,1028158,17.6
2021-04-05,MP,MPA,Northern Mariana Islands,56882,,12442,21.9
2021-04-05,MS,MSA,Mississippi,2976149,,486554,16.8
2021-04-05,MT,MTA,Montana,1068778,,222285,21.6
2021-04-05,NC,NCA,North Carolina,10488084,,1868060,18.2
2021-04-05,ND,NDA,North Dakota,762062,,171961,23.0
2021-04-05,NE,NEA,Nebraska,1934408,,385096,20.8
2021-04-05,NH,NHA,New Hampshire,1359711,,264900,19.9
2021-04-05,NJ,NJA,New Jersey,8882190,,1844311,21.5
2021-04-05,NM,NMA,New Mexico,2096829,,533647,26.2
2021-04-05,NV,NVA,Nevada,3080156,,531768,18.2
2021-04-05,NY,NYA,New York State,19453561,,3898338,21.0
2021-04-05,OH,OHA,Ohio,11689100,,2136618,19.1
2021-04-05,OK,OKA,Oklahoma,3956971,,782165,20.5
2021-04-05,OR,ORA,Oregon,4217737,,760416,19.0
2021-04-05,PA,PAA,Pennsylvania,12801989,,2324764,18.9
2021-04-05,PR,PRA,Puerto Rico,3193694,,440990,13.9
2021-04-05,RI,RIA,Rhode Island,1059361,,243583,24.5
2021-04-05,RP,RPA,Republic of Palau,17907,,5299,29.6
2021-04-05,SC,SCA,South Carolina,5148714,,817169,16.7
2021-04-05,SD,SDA,South Dakota,884659,,213662,25.0
2021-04-05,TN,TNA,Tennessee,6829174,,1034857,15.6
2021-04-05,TX,TXA,Texas,28995881,,4640862,16.1
2021-04-05,UT,UTA,Utah,3205958,,417410,13.6
2021-04-05,VA,VAA,Virginia,8535519,,1584852,19.5
2021-04-05,VA2,VA2,Veterans Health,0,,1814072,0.0
2021-04-05,VI,VIA,Virgin Islands,104680,,15970,15.4
2021-04-05,VT,VTA,Vermont,623989,,128669,22.2
2021-04-05,WA,WAA,Washington,7614893,,1483675,20.7
2021-04-05,WI,WIA,Wisconsin,5822434,,1190751,21.3
2021-04-05,WV,WVA,West Virginia,1792147,,378113,21.2
2021-04-05,WY,WYA,Wyoming,578759,,109711,20.6
2021-04-05,LTC,LTC,Long Term Care,,,,
2021-04-06,US,USA,United States,331996199,,62885968,19.0
2021-04-06,AK,AKA,Alaska,731545,,177289,24.5
2021-04-06,AL,ALA,Alabama,4903185,,724923,14.8
2021-04-06,AR,ARA,Arkansas,3017804,,488954,16.2
2021-04-06,AS,ASA,American Samoa,55689,,13348,24.7
2021-04-06,AZ,AZA,Arizona,7278717,,1395496,19.2
2021-04-06,BP2,BP2,Bureau of Prisons,0,,47075,0.0
2021-04-06,CA,CAA,California,39512223,,7233267,18.3
2021-04-06,CO,COA,Colorado,5758736,,1129641,19.6
2021-04-06,CT,CTA,Connecticut,3565287,,842187,23.6
2021-04-06,DC,DCA,District of Columbia,705749,,113102,16.0
2021-04-06,DD2,DD2,Dept of Defense,0,,737583,0.0
2021-04-06,DE,DEA,Delaware,973764,,178858,18.4
2021-04-06,FL,FLA,Florida,21477737,,3876807,18.1
2021-04-06,FM,FMA,Federated States of Micronesia,103643,,10046,9.7
2021-04-06,GA,GAA,Georgia,10617423,,1420821,13.4
2021-04-06,GU,GUA,Guam,165768,,32874,19.8
2021-04-06,HI,HIA,Hawaii,1415872,,302965,21.4
2021-04-06,IA,IAA,Iowa,3155070,,685789,21.8
2021-04-06,ID,IDA,Idaho,1787065,,328290,18.4
2021-04-06,IH2,IH2,Indian Health Svc,2082813,,397076,19.3
2021-04-06,IL,ILA,Illinois,12671821,,2353345,18.6
2021-04-06,IN,INA,Indiana,6732219,,1252194,18.6
2021-04-06,KS,KSA,Kansas,2913314,,561464,19.3
2021-04-06,KY,KYA,Kentucky,4467673,,905693,20.3
2021-04-06,LA,LAA,Louisiana,4648794,,854598,18.4
2021-04-06,MA,MAA,Massachusetts,6892503,,1497478,21.8
2021-04-06,MD,MDA,Maryland,6045680,,1221020,20.2
2021-04-06,ME,MEA,Maine,1344212,,319440,23.8
2021-04-06,MH,MHA,Marshall Islands,58413,,8868,15.2
2021-04-06,MI,MIA,Michigan,9986857,,1947694,19.5
2021-04-06,MN,MNA,Minnesota,5639632,,1228763,21.8
2021-04-06,MO,MOA,Missouri,6137428,,1080231,17.6
2021-04-06,MP,MPA,Northern Mariana Islands,56882,,12639,22.2
2021-04-06,MS,MSA,Mississippi,2976149,,504053,16.9
2021-04-06,MT,MTA,Montana,1068778,,230774,21.6
2021-04-06,NC,NCA,North Carolina,10488084,,1911324,18.3
2021-04-06,ND,NDA,North Dakota,762062,,176174,23.2
2021-04-06,NE,NEA,Nebraska,1934408,,407919,21.1
2021-04-06,NH,NHA,New Hampshire,1359711,,270331,20.1
2021-04-06,NJ,NJA,New Jersey,8882190,,1942649,21.9
2021-04-06,NM,NMA,New Mexico,2096829,,546141,26.3
2021-04-06,NV,NVA,Nevada,3080156,,560494,18.2
2021-04-06,NY,NYA,New York State,19453561,,4144309,21.3
2021-04-06,OH,OHA,Ohio,11689100,,2246711,19.2
2021-04-06,OK,OKA,Oklahoma,3956971,,810051,20.5
2021-04-06,OR,ORA,Oregon,4217737,,809592,19.2
2021-04-06,PA,PAA,Pennsylvania,12801989,,2444153,19.1
2021-04-06,PR,PRA,Puerto Rico,3193694,,446459,14.0
2021-04-06,RI,RIA,Rhode Island,1059361,,263585,24.9
2021-04-06,RP,RPA,Republic of Palau,17907,,5305,29.6
2021-04-06,SC,SCA,South Carolina,5148714,,865560,16.8
2021-04-06,SD,SDA,South Dakota,884659,,220700,25.0
2021-04-06,TN,TNA,Tennessee,6829174,,1065656,15.6
2021-04-06,TX,TXA,Texas,28995881,,4764969,16.5
2021-04-06,UT,UTA,Utah,3205958,,441035,13.8
2021-04-06,VA,VAA,Virginia,8535519,,1690347,19.8
2021-04-06,VA2,VA2,Veterans Health,0,,1814529,0.0
2021-04-06,VI,VIA,Virgin Islands,104680,,16635,16.0
2021-04-06,VT,VTA,Vermont,623989,,141274,22.7
2021-04-06,WA,WAA,Washington,7614893,,1584640,20.8
2021-04-06,WI,WIA,Wisconsin,5822434,,1242391,21.4
2021-04-06,WV,WVA,West Virginia,1792147,,381540,21.3
2021-04-06,WY,WYA,Wyoming,578759,,119562,20.7
2021-04-06,LTC,LTC,Long Term Care,,,,
2021-04-07,US,USA,United States,331996199,,64286560,19.4
2021-04-07,AK,AKA,Alaska,731545,,179782,24.9
2021-04-07,AL,ALA,Alabama,4903185,,744584,15.2
2021-04-07,AR,ARA,Arkansas,3017804,,502702,16.7
2021-04-07,AS,ASA,American Samoa,55689,,13903,25.7
2021-04-07,AZ,AZA,Arizona,7278717,,1417418,19.5
2021-04-07,BP2,BP2,Bureau of Prisons,0,,47560,0.0
2021-04-07,CA,CAA,California,39512223,,7404858,18.8
2021-04-07,CO,COA,Colorado,5758736,,1154830,20.1
2021-04-07,CT,CTA,Connecticut,3565287,,861638,24.2
2021-04-07,DC,DCA,District of Columbia,705749,,114025,16.2
2021-04-07,DD2,DD2,Dept of Defense,0,,748977,0.0
2021-04-07,DE,DEA,Delaware,973764,,183602,18.9
2021-04-07,FL,FLA,Florida,21477737,,3962531,18.5
2021-04-07,FM,FMA,Federated States of Micronesia,103643,,10219,9.9
2021-04-07,GA,GAA,Georgia,10617423,,1493361,14.1
2021-04-07,GU,GUA,Guam,165768,,34016,20.5
2021-04-07,HI,HIA,Hawaii,1415872,,311031,22.0
2021-04-07,IA,IAA,Iowa,3155070,,694257,22.0
2021-04-07,ID,IDA,Idaho,1787065,,335792,18.8
2021-04-07,IH2,IH2,Indian Health Svc,2082813,,403549,19.7
2021-04-07,IL,ILA,Illinois,12671821,,2395825,18.9
2021-04-07,IN,INA,Indiana,6732219,,1272287,18.9
2021-04-07,KS,KSA,Kansas,2913314,,576701,19.8
2021-04-07,KY,KYA,Kentucky,4467673,,924955,20.7
2021-04-07,LA,LAA,Louisiana,4648794,,870186,18.7
2021-04-07,MA,MAA,Massachusetts,6892503,,1535381,22.3
2021-04-07,MD,MDA,Maryland,6045680,,1256521,20.8
2021-04-07,ME,MEA,Maine,1344212,,325860,24.3
2021-04-07,MH,MHA,Marshall Islands,58413,,9005,15.4
2021-04-07,MI,MIA,Michigan,9986857,,1984134,19.9
2021-04-07,MN,MNA,Minnesota,5639632,,1256032,22.3
2021-04-07,MO,MOA,Missouri,6137428,,1100471,17.9
2021-04-07,MP,MPA,Northern Mariana Islands,56882,,12831,22.6
2021-04-07,MS,MSA,Mississippi,2976149,,515142,17.3
2021-04-07,MT,MTA,Montana,1068778,,235047,22.1
2021-04-07,NC,NCA,North Carolina,10488084,,1951375,18.6
2021-04-07,ND,NDA,North Dakota,762062,,178323,23.5
2021-04-07,NE,NEA,Nebraska,1934408,,416339,21.6
2021-04-07,NH,NHA,New Hampshire,1359711,,281960,20.8
2021-04-07,NJ,NJA,New Jersey,8882190,,2001786,22.6
2021-04-07,NM,NMA,New Mexico,2096829,,549933,26.4
2021-04-07,NV,NVA,Nevada,3080156,,569336,18.5
2021-04-07,NY,NYA,New York State,19453561,,4283695,22.1
2021-04-07,OH,OHA,Ohio,11689100,,2282248,19.5
2021-04-07,OK,OKA,Oklahoma,3956971,,831892,21.1
2021-04-07,OR,ORA,Oregon,4217737,,823418,19.6
2021-04-07,PA,PAA,Pennsylvania,12801989,,2456708,19.2
2021-04-07,PR,PRA,Puerto Rico,3193694,,457082,14.3
2021-04-07,RI,RIA,Rhode Island,1059361,,268248,25.3
2021-04-07,RP,RPA,Republic of Palau,17907,,5308,29.6
2021-04-07,SC,SCA,South Carolina,5148714,,886704,17.2
2021-04-07,SD,SDA,South Dakota,884659,,223595,25.3
2021-04-07,TN,TNA,Tennessee,6829174,,1094524,16.0
2021-04-07,TX,TXA,Texas,28995881,,4878789,16.9
2021-04-07,UT,UTA,Utah,3205958,,452445,14.2
2021-04-07,VA,VAA,Virginia,8535519,,1726354,20.3
2021-04-07,VA2,VA2,Veterans Health,0,,1844316,0.0
2021-04-07,VI,VIA,Virgin Islands,104680,,17478,16.8
2021-04-07,VT,VTA,Vermont,623989,,142499,22.9
2021-04-07,WA,WAA,Washington,7614893,,1611218,21.2
2021-04-07,WI,WIA,Wisconsin,5822434,,1258685,21.6
2021-04-07,WV,WVA,West Virginia,1792147,,385897,21.6
2021-04-07,WY,WYA,Wyoming,578759,,119750,20.7
2021-04-07,LTC,LTC,Long Term Care,,,,
2021-04-08,US,USA,United States,331996199,,66057341,19.9
2021-04-08,AK,AKA,Alaska,731545,,184295,25.5
2021-04-08,AL,ALA,Alabama,4903185,,764037,15.6
2021-04-08,AR,ARA,Arkansas,3017804,,518140,17.2
2021-04-08,AS,ASA,American Samoa,55689,,13904,25.7
2021-04-08,AZ,AZA,Arizona,7278717,,1448938,20.0
2021-04-08,BP2,BP2,Bureau of Prisons,0,,50667,0.0
2021-04-08,CA,CAA,California,39512223,,7580359,19.2
2021-04-08,CO,COA,Colorado,5758736,,1179289,20.5
2021-04-08,CT,CTA,Connecticut,3565287,,886876,24.9
2021-04-08,DC,DCA,District of Columbia,705749,,121443,17.2
2021-04-08,DD2,DD2,Dept of Defense,0,,764386,0.0
2021-04-08,DE,DEA,Delaware,973764,,187439,19.3
2021-04-08,FL,FLA,Florida,21477737,,4108404,19.1
2021-04-08,FM,FMA,Federated States of Micronesia,103643,,10355,10.0
2021-04-08,GA,GAA,Georgia,10617423,,1535646,14.5
2021-04-08,GU,GUA,Guam,165768,,34788,21.0
2021-04-08,HI,HIA,Hawaii,1415872,,321592,22.8
2021-04-08,IA,IAA,Iowa,3155070,,711325,22.6
2021-04-08,ID,IDA,Idaho,1787065,,343276,19.2
2021-04-08,IH2,IH2,Indian Health Svc,2082813,,410537,20.0
2021-04-08,IL,ILA,Illinois,12671821,,2463938,19.5
2021-04-08,IN,INA,Indiana,6732219,,1297474,19.3
2021-04-08,KS,KSA,Kansas,2913314,,592642,20.4
2021-04-08,KY,KYA,Kentucky,4467673,,952096,21.3
2021-04-08,LA,LAA,Louisiana,4648794,,892666,19.2
2021-04-08,MA,MAA,Massachusetts,6892503,,1577083,22.9
2021-04-08,MD,MDA,Maryland,6045680,,1298294,21.5
2021-04-08,ME,MEA,Maine,1344212,,336659,25.1
2021-04-08,MH,MHA,Marshall Islands,58413,,9250,15.8
2021-04-08,MI,MIA,Michigan,9986857,,2038393,20.4
2021-04-08,MN,MNA,Minnesota,5639632,,1284937,22.8
2021-04-08,MO,MOA,Missouri,6137428,,1138302,18.6
2021-04-08,MP,MPA,Northern Mariana Islands,56882,,13045,23.0
2021-04-08,MS,MSA,Mississippi,2976149,,528625,17.8
2021-04-08,MT,MTA,Montana,1068778,,240231,22.5
2021-04-08,NC,NCA,North Carolina,10488084,,2012905,19.2
2021-04-08,ND,NDA,North Dakota,762062,,182282,24.0
2021-04-08,NE,NEA,Nebraska,1934408,,425560,22.0
2021-04-08,NH,NHA,New Hampshire,1359711,,292528,21.6
2021-04-08,NJ,NJA,New Jersey,8882190,,2070827,23.4
2021-04-08,NM,NMA,New Mexico,2096829,,565950,27.2
2021-04-08,NV,NVA,Nevada,3080156,,585581,19.0
2021-04-08,NY,NYA,New York State,19453561,,4396229,22.6
2021-04-08,OH,OHA,Ohio,11689100,,2352795,20.1
2021-04-08,OK,OKA,Oklahoma,3956971,,852007,21.6
2021-04-08,OR,ORA,Oregon,4217737,,842322,20.0
